Timestamp;Actual_Consumption;Forecast_Value;Lower_Bound;Upper_Bound
2024-10-13 04:00:00;4683,458;4876,706;4740,164;5013,248
2024-10-13 05:00:00;4883,950;5528,691;5392,149;5665,233
2024-10-13 06:00:00;5087,118;5223,249;5086,707;5359,791
2024-10-13 07:00:00;5439,116;5444,720;5308,178;5581,262
2024-10-13 08:00:00;5710,704;5963,107;5826,565;6099,649
2024-10-13 09:00:00;5977,469;6294,480;6157,938;6431,022
2024-10-13 10:00:00;6226,231;6162,987;6026,445;6299,529
2024-10-13 11:00:00;6346,506;6101,648;5965,106;6238,190
2024-10-13 12:00:00;6221,861;6246,268;6109,726;6382,810
2024-10-13 13:00:00;5984,430;5734,876;5598,334;5871,418
2024-10-13 14:00:00;5746,246;5546,587;5410,045;5683,129
2024-10-13 15:00:00;5730,646;6025,284;5888,742;6161,826
2024-10-13 16:00:00;5861,031;6374,411;6237,869;6510,953
2024-10-13 17:00:00;6152,410;6392,583;6256,041;6529,125
2024-10-13 18:00:00;6549,153;6473,599;6337,057;6610,141
2024-10-13 19:00:00;6531,454;6283,467;6146,925;6420,009
2024-10-13 20:00:00;6219,721;5901,650;5765,108;6038,192
2024-10-13 21:00:00;5913,600;5848,895;5712,353;5985,437
2024-10-13 22:00:00;5869,515;5552,398;5415,856;5688,940
2024-10-13 23:00:00;5468,845;5144,425;5007,883;5280,967
2024-10-14 00:00:00;5338,912;5139,516;5002,974;5276,058
2024-10-14 01:00:00;5135,079;5207,879;5071,337;5344,421
2024-10-14 02:00:00;5063,477;4926,313;4789,771;5062,855
2024-10-14 03:00:00;5006,954;5040,537;4903,995;5177,079
2024-10-14 04:00:00;5169,886;5850,879;5714,337;5987,421
2024-10-14 05:00:00;5912,102;7131,669;6995,127;7268,211
2024-10-14 06:00:00;7253,553;8136,833;8000,291;8273,375
2024-10-14 07:00:00;8214,801;8587,104;8450,562;8723,646
2024-10-14 08:00:00;8248,290;7985,324;7848,782;8121,866
2024-10-14 09:00:00;7972,358;7577,518;7440,976;7714,060
2024-10-14 10:00:00;7806,145;7605,632;7469,090;7742,174
2024-10-14 11:00:00;7652,481;7467,341;7330,799;7603,883
2024-10-14 12:00:00;7535,080;7512,107;7375,565;7648,649
2024-10-14 13:00:00;7503,803;7392,870;7256,328;7529,412
2024-10-14 14:00:00;7497,223;7602,672;7466,130;7739,214
2024-10-14 15:00:00;7466,364;7638,477;7501,935;7775,019
2024-10-14 16:00:00;7666,172;7882,790;7746,248;8019,332
2024-10-14 17:00:00;7855,237;8030,105;7893,563;8166,647
2024-10-14 18:00:00;8035,890;7917,472;7780,930;8054,014
2024-10-14 19:00:00;7823,561;7299,777;7163,235;7436,319
2024-10-14 20:00:00;7310,189;6647,161;6510,619;6783,703
2024-10-14 21:00:00;6762,341;6526,826;6390,284;6663,368
2024-10-14 22:00:00;6430,407;6015,642;5879,100;6152,184
2024-10-14 23:00:00;5885,825;5517,201;5380,659;5653,743
2024-10-15 00:00:00;5715,230;5508,514;5371,972;5645,056
2024-10-15 01:00:00;5423,850;5405,557;5269,015;5542,099
2024-10-15 02:00:00;5340,265;5183,089;5046,547;5319,631
2024-10-15 03:00:00;5247,782;5357,300;5220,758;5493,842
2024-10-15 04:00:00;5382,771;6122,471;5985,929;6259,013
2024-10-15 05:00:00;6036,554;7227,830;7091,288;7364,372
2024-10-15 06:00:00;7348,730;8239,536;8102,994;8376,078
2024-10-15 07:00:00;8208,012;8421,539;8284,997;8558,081
2024-10-15 08:00:00;8486,893;8275,594;8139,052;8412,136
2024-10-15 09:00:00;8365,116;8260,056;8123,514;8396,598
2024-10-15 10:00:00;8076,056;7830,545;7694,003;7967,087
2024-10-15 11:00:00;7842,555;7381,942;7245,400;7518,484
2024-10-15 12:00:00;7515,369;7372,521;7235,979;7509,063
2024-10-15 13:00:00;7486,198;7620,193;7483,651;7756,735
2024-10-15 14:00:00;7397,079;7551,351;7414,809;7687,893
2024-10-15 15:00:00;7557,486;7697,594;7561,052;7834,136
2024-10-15 16:00:00;7759,717;7944,141;7807,599;8080,683
2024-10-15 17:00:00;8039,342;8275,543;8139,001;8412,085
2024-10-15 18:00:00;8214,136;8068,207;7931,665;8204,749
2024-10-15 19:00:00;7988,439;7422,423;7285,881;7558,965
2024-10-15 20:00:00;7417,709;6730,855;6594,313;6867,397
2024-10-15 21:00:00;6819,025;6536,244;6399,702;6672,786
2024-10-15 22:00:00;6440,781;5958,495;5821,953;6095,037
2024-10-15 23:00:00;5985,546;5711,464;5574,922;5848,006
2024-10-16 00:00:00;5739,727;5489,883;5353,341;5626,425
2024-10-16 01:00:00;5469,309;5358,471;5221,929;5495,013
2024-10-16 02:00:00;5377,990;5278,311;5141,769;5414,853
2024-10-16 03:00:00;5304,302;5488,123;5351,581;5624,665
2024-10-16 04:00:00;5491,516;6133,325;5996,783;6269,867
2024-10-16 05:00:00;6177,615;7263,335;7126,793;7399,877
2024-10-16 06:00:00;7479,506;8433,392;8296,850;8569,934
2024-10-16 07:00:00;8350,258;8702,666;8566,124;8839,208
2024-10-16 08:00:00;8460,967;8152,955;8016,413;8289,497
2024-10-16 09:00:00;8170,031;7781,221;7644,679;7917,763
2024-10-16 10:00:00;8046,349;7909,604;7773,062;8046,146
2024-10-16 11:00:00;7927,126;7786,540;7649,998;7923,082
2024-10-16 12:00:00;7510,228;7324,721;7188,179;7461,263
2024-10-16 13:00:00;7413,977;7249,293;7112,751;7385,835
2024-10-16 14:00:00;7366,971;7425,163;7288,621;7561,705
2024-10-16 15:00:00;7472,369;7766,597;7630,055;7903,139
2024-10-16 16:00:00;7696,457;8079,831;7943,289;8216,373
2024-10-16 17:00:00;8022,044;8224,346;8087,804;8360,888
2024-10-16 18:00:00;8233,269;7902,925;7766,383;8039,467
2024-10-16 19:00:00;7922,060;7302,200;7165,658;7438,742
2024-10-16 20:00:00;7363,012;6827,737;6691,195;6964,279
2024-10-16 21:00:00;6793,123;6540,497;6403,955;6677,039
2024-10-16 22:00:00;6458,516;5889,501;5752,959;6026,043
2024-10-16 23:00:00;6003,061;5772,373;5635,831;5908,915
2024-10-17 00:00:00;5777,996;5664,050;5527,508;5800,592
2024-10-17 01:00:00;5556,865;5512,506;5375,964;5649,048
2024-10-17 02:00:00;5437,195;5245,612;5109,070;5382,154
2024-10-17 03:00:00;5366,495;5516,420;5379,878;5652,962
2024-10-17 04:00:00;5535,401;6265,657;6129,115;6402,199
2024-10-17 05:00:00;6214,620;7396,848;7260,306;7533,390
2024-10-17 06:00:00;7391,425;8169,199;8032,657;8305,741
2024-10-17 07:00:00;8311,972;8500,927;8364,385;8637,469
2024-10-17 08:00:00;8530,277;8452,086;8315,544;8588,628
2024-10-17 09:00:00;8246,003;8131,475;7994,933;8268,017
